cik,company_name,ticker,ipo_date,ipo_year,founding_year,years_to_ipo,total_pre_ipo_capital_m,num_rounds_detected,capital_efficiency_m,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pipeline_concentration,pre_ipo_had_terminated_or_withdrawn,pre_ipo_patent_count,ip_density,pubmed_pre_ipo_count,bucket,exit_reason,exit_subtype,sic,sic_description
0001739614,"Inhibrx, Inc.",,2020-08-19,,,,40.3,1,,4,2.0,18,0.22,True,19,4.75,4,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001539029,"Clearside Biomedical, Inc.",,2016-06-02,,,,50.0,3,,4,3.0,10,0.4,False,6,1.5,0,deregistered_or_delisted,bankruptcy,,2834.0,Pharmaceutical Preparations
0001635886,"BioCardia, Inc.",,2015-06-16,,,,7.3,1,,1,1.0,2,0.5,False,43,43.0,4,stalled_filing,unclear,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001560241,"G1 Therapeutics, Inc.",,2017-05-17,,,,50.0,3,,6,2.0,7,0.86,True,17,2.833,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001604950,scPharmaceuticals Inc.,,2017-11-17,,,,53.2,2,,5,3.0,2,2.5,False,1,0.2,3,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001615219,"Flex Pharma, Inc.",,2015-01-29,,,,82.0,2,,0,,0,,False,1,inf,114,actively_filing,,,2834.0,Pharmaceutical Preparations
0001613490,MultiVir Inc.,,2015-03-30,,,,,0,,0,,0,,False,1,inf,0,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0000921299,FIBROGEN INC,,2014-11-19,,,,,0,,0,,0,,False,0,,41,actively_filing,,,2834.0,Pharmaceutical Preparations
0001564824,Allakos Inc.,,2018-07-19,,,,100.1,2,,7,2.0,10,0.7,False,4,0.571,6,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001597553,"Sage Therapeutics, Inc.",,2014-07-18,,,,53.0,1,,0,,0,,False,5,inf,554,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001694665,"Evelo Biosciences, Inc.",,2018-05-09,,,,81.5,3,,0,,0,,False,3,inf,11,deregistered_or_delisted,likely_failure_delisted,,2834.0,Pharmaceutical Preparations
0001622229,"Unum Therapeutics, Inc.",,2018-03-29,,,,64.8,2,,0,,0,,False,1,inf,33,actively_filing,,,2834.0,Pharmaceutical Preparations
0001652923,"AveXis, Inc.",,2016-02-11,,,,,0,,0,,0,,False,0,,0,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001588972,"Recro Pharma, Inc.",,2014-03-07,,,,,0,,0,,0,,False,3,inf,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001670356,Abpro Corp,,2018-04-11,,,,11.9,1,,0,,0,,False,0,,0,deregistered_or_delisted,unclear,,2834.0,Pharmaceutical Preparations
