company_name,cik,bucket,latest_periodic_filing,deregistration_date,form25_date
"bluebird bio, Inc.",1293971,deregistered_or_delisted,2025-05-14,2025-06-12,2025-06-02
"Menlo Therapeutics, Inc.",1566044,actively_filing,2026-05-15,,
"Oyster Point Pharma, Inc.",1720725,deregistered_or_delisted,2022-11-10,2023-01-13,2023-01-03
"Kaleido Biosciences, Inc.",1751299,deregistered_or_delisted,2022-04-01,2022-05-06,2022-04-18
Applied Therapeutics Inc.,1697532,deregistered_or_delisted,2025-11-13,2026-02-13,2026-02-03
"Dimension Therapeutics, Inc.",1592288,deregistered_or_delisted,2017-11-06,2017-11-17,2017-11-07
"Homology Medicines, Inc.",1661998,actively_filing,2026-05-05,,
"Akero Therapeutics, Inc.",1744659,deregistered_or_delisted,2025-11-07,2025-12-19,2025-12-09
"Allena Pharmaceuticals, Inc.",1624658,deregistered_or_delisted,2022-08-15,,2022-09-14
"Audentes Therapeutics, Inc.",1628738,deregistered_or_delisted,2019-11-07,2020-01-27,2020-01-15
"IASO BioMed, Inc.",1662907,stalled_filing,2019-11-19,,
"Insys Therapeutics, Inc.",1516479,deregistered_or_delisted,2019-05-13,2020-02-11,2019-06-24
"Karuna Therapeutics, Inc.",1771917,deregistered_or_delisted,2024-03-14,2024-03-28,2024-03-18
"Magenta Therapeutics, Inc.",1690585,actively_filing,2026-05-05,,
"Novan, Inc.",1467154,deregistered_or_delisted,2023-05-15,,2023-09-08
PDS Biotechnology Corp,1472091,actively_filing,2026-05-14,,
"Dipexium Pharmaceuticals, LLC",1497504,deregistered_or_delisted,2022-11-10,2023-10-18,2023-05-02
"CEMPRA, INC.",1461993,deregistered_or_delisted,2019-11-12,,2020-02-05
"TESARO, Inc.",1491576,deregistered_or_delisted,2018-11-02,2019-02-01,2019-01-22
Pfenex Inc.,1478121,deregistered_or_delisted,2020-08-06,2020-10-05,2020-10-01
CONTRAFECT Corp,1478069,stalled_filing,2023-11-14,,2014-09-12
"HEAT BIOLOGICS, INC.",1476963,actively_filing,2026-02-17,,2022-02-11
"Calithera Biosciences, Inc.",1496671,deregistered_or_delisted,2023-03-31,2023-03-14,2023-03-03
"Clovis Oncology, Inc.",1466301,deregistered_or_delisted,2022-11-09,2023-07-11,2022-12-29
"OptiNose, Inc.",1494650,deregistered_or_delisted,2025-05-14,2025-06-02,2025-05-21
"Revance Therapeutics, Inc.",1479290,deregistered_or_delisted,2024-11-07,2025-02-18,2025-02-06
"Omthera Pharmaceuticals, Inc.",1477598,deregistered_or_delisted,2013-05-28,2013-07-29,2013-07-18
"Otonomy, Inc.",1493566,deregistered_or_delisted,2022-11-10,2023-04-04,2022-12-29
"Arsanis, Inc.",1501697,actively_filing,2026-05-06,,
"IGM Biosciences, Inc.",1496323,deregistered_or_delisted,2025-07-31,2025-08-25,2025-08-14
"Eleven Biotherapeutics, Inc.",1485003,deregistered_or_delisted,2025-11-12,2025-12-29,2025-12-15
"Ra Pharmaceuticals, Inc.",1481512,deregistered_or_delisted,2020-04-03,2020-04-13,2020-04-02
